supplier,month,gpcd,region, production , production2013 ,units,population,percent_residential
East Bay Municipal Utilities District,11/15/2018,66.4,San Francisco Bay,4671.5,5148.6,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,10/15/2018,75.7,San Francisco Bay,5592.2,6175,MG," 1,430,000 ", 60 
East Bay Municipal Utilities District,9/15/2018,83.5,San Francisco Bay,5870.1,6528.4,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,8/15/2018,87.5,San Francisco Bay,6361.2,7172.3,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,7/15/2018,86.3,San Francisco Bay,6377.6,7452.2,MG," 1,430,000 ", 60 
East Bay Municipal Utilities District,6/15/2018,83.4,San Francisco Bay,5866.2,6927.5,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,5/15/2018,73.3,San Francisco Bay,5416,6716.5,MG," 1,430,000 ", 60 
East Bay Municipal Utilities District,4/15/2018,60.5,San Francisco Bay,4184.9,5417.5,MG," 1,430,000 ", 62 
East Bay Municipal Utilities District,3/15/2018,55.1,San Francisco Bay,4006.8,4927.5,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,2/15/2018,59.8,San Francisco Bay,3925.5,4016.4,MG," 1,430,000 ", 61 
East Bay Municipal Utilities District,1/15/2018,54.3,San Francisco Bay,3881.1,4099.3,MG," 1,430,000 ", 62 
East Bay Municipal Utilities District,12/15/2017,60.4,San Francisco Bay,4258.3,4772,MG," 1,410,000 ", 62 
East Bay Municipal Utilities District,11/15/2017,61.0,San Francisco Bay,4229.3,5148.6,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,10/15/2017,78.3,San Francisco Bay,5703.7,6175,MG," 1,410,000 ", 60 
East Bay Municipal Utilities District,9/15/2017,87.1,San Francisco Bay,6039.8,6528.4,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,8/15/2017,89.9,San Francisco Bay,6444.7,7172.3,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,7/15/2017,89.7,San Francisco Bay,6531.7,7452.2,MG," 1,410,000 ", 60 
East Bay Municipal Utilities District,6/15/2017,85.8,San Francisco Bay,5952.6,6927.5,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,5/15/2017,76.2,San Francisco Bay,5551,6716.5,MG," 1,410,000 ", 60 
East Bay Municipal Utilities District,4/15/2017,58.0,San Francisco Bay,3958.1,5417.5,MG," 1,410,000 ", 62 
East Bay Municipal Utilities District,3/15/2017,54.2,San Francisco Bay,3884.1,4927.5,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,2/15/2017,52.6,San Francisco Bay,3403.3,4016.4,MG," 1,410,000 ", 61 
East Bay Municipal Utilities District,1/15/2017,53.9,San Francisco Bay,3747.1,4099.3,MG," 1,390,000 ", 62 
East Bay Municipal Utilities District,12/15/2016,53.8,San Francisco Bay,3767.4,4772,MG," 1,400,000 ", 62 
East Bay Municipal Utilities District,11/15/2016,55.8,San Francisco Bay,3839.1,5148.6,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,10/15/2016,64.8,San Francisco Bay,4689.9,6175,MG," 1,400,000 ", 60 
East Bay Municipal Utilities District,9/15/2016,81.9,San Francisco Bay,5636.2,6528.4,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,8/15/2016,84.4,San Francisco Bay,6007.5,7172.3,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,7/15/2016,83.7,San Francisco Bay,6056.6,7452.2,MG," 1,400,000 ", 60 
East Bay Municipal Utilities District,6/15/2016,82.4,San Francisco Bay,5675.9,6927.5,MG," 1,400,000 ", 61 
East Bay Municipal Utilities District,5/15/2016,68.6,San Francisco Bay,4959.3,6716.5,MG," 1,400,000 ", 60 
East Bay Municipal Utilities District,4/15/2016,59.3,San Francisco Bay,4018.8,5417.5,MG," 1,400,000 ", 62 
